Dipeptide,L2_IDR_Alveolata,L2_IDR_Fungi,L2_IDR_Metazoa,L2_IDR_Stramenopiles,L2_IDR_Streptophyta,L2_structure_Alveolata,L2_structure_Fungi,L2_structure_Metazoa,L2_structure_Stramenopiles,L2_structure_Streptophyta
AA,0.00202020202020202,0.0,0.0007830853563038371,0.0018796992481203006,0.0017657445556209534,0.0011750881316098707,0.004640371229698376,0.008957133717210493,0.010073260073260074,0.0066844919786096255
AC,0.0,0.0,0.0,0.0009398496240601503,0.0,0.0011750881316098707,0.0,0.0006397952655150352,0.002136752136752137,0.0
AD,0.0,0.0,0.0015661707126076742,0.0018796992481203006,0.004120070629782225,0.0023501762632197414,0.0069605568445475635,0.011516314779270634,0.009768009768009768,0.009581105169340463
AE,0.00202020202020202,0.0049261083743842365,0.004698512137823023,0.008458646616541353,0.006474396703943496,0.005875440658049354,0.002320185614849188,0.017914267434420986,0.008547008547008548,0.006907308377896613
AF,0.0,0.0,0.0,0.0,0.0005885815185403178,0.0023501762632197414,0.002320185614849188,0.0019193857965451055,0.004273504273504274,0.0064616755793226385
AG,0.00404040404040404,0.009852216748768473,0.004698512137823023,0.0,0.0017657445556209534,0.0011750881316098707,0.004640371229698376,0.0012795905310300703,0.0027472527472527475,0.002005347593582888
AH,0.0,0.0,0.0,0.0,0.0005885815185403178,0.0,0.0,0.0012795905310300703,0.0,0.0002228163992869875
AI,0.00202020202020202,0.0,0.0031323414252153485,0.002819548872180451,0.002354326074161271,0.0023501762632197414,0.002320185614849188,0.0019193857965451055,0.0009157509157509158,0.0066844919786096255
AK,0.006060606060606061,0.0,0.0031323414252153485,0.002819548872180451,0.0005885815185403178,0.004700352526439483,0.0,0.008957133717210493,0.004884004884004884,0.0071301247771836
AL,0.0,0.0,0.0023492560689115116,0.002819548872180451,0.0,0.004700352526439483,0.004640371229698376,0.005758157389635317,0.008547008547008548,0.012032085561497326
AM,0.0,0.0,0.0007830853563038371,0.0018796992481203006,0.004120070629782225,0.0,0.0069605568445475635,0.003198976327575176,0.003357753357753358,0.0022281639928698753
AN,0.006060606060606061,0.0,0.0007830853563038371,0.0009398496240601503,0.0005885815185403178,0.0011750881316098707,0.0,0.0019193857965451055,0.002442002442002442,0.004679144385026738
AP,0.00202020202020202,0.0049261083743842365,0.0007830853563038371,0.002819548872180451,0.0011771630370806356,0.0011750881316098707,0.002320185614849188,0.0012795905310300703,0.002442002442002442,0.0035650623885918
AQ,0.00202020202020202,0.0,0.0007830853563038371,0.0,0.0,0.004700352526439483,0.004640371229698376,0.005758157389635317,0.010683760683760684,0.004233511586452763
AR,0.00202020202020202,0.0,0.0007830853563038371,0.0037593984962406013,0.002354326074161271,0.004700352526439483,0.002320185614849188,0.003838771593090211,0.0057997557997558,0.0035650623885918
AS,0.00404040404040404,0.0,0.0015661707126076742,0.002819548872180451,0.003531489111241907,0.004700352526439483,0.0069605568445475635,0.004478566858605247,0.003357753357753358,0.0024509803921568627
AT,0.006060606060606061,0.0,0.0007830853563038371,0.002819548872180451,0.0017657445556209534,0.005875440658049354,0.002320185614849188,0.0012795905310300703,0.004273504273504274,0.0024509803921568627
AV,0.00404040404040404,0.0,0.0007830853563038371,0.0037593984962406013,0.0005885815185403178,0.0,0.0069605568445475635,0.004478566858605247,0.0030525030525030525,0.0033422459893048127
AW,0.0,0.0049261083743842365,0.0007830853563038371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AY,0.00404040404040404,0.0,0.0015661707126076742,0.0,0.0005885815185403178,0.0,0.002320185614849188,0.004478566858605247,0.0027472527472527475,0.0006684491978609625
CA,0.0,0.0,0.0007830853563038371,0.0,0.0005885815185403178,0.0011750881316098707,0.0,0.0012795905310300703,0.0006105006105006105,0.0002228163992869875
CC,0.0,0.0,0.0007830853563038371,0.0,0.0011771630370806356,0.0,0.0,0.0019193857965451055,0.00030525030525030525,0.0
CD,0.0,0.0,0.0,0.0,0.0,0.005875440658049354,0.004640371229698376,0.003198976327575176,0.004884004884004884,0.004679144385026738
CE,0.0,0.0,0.0,0.0009398496240601503,0.0,0.0023501762632197414,0.002320185614849188,0.004478566858605247,0.0009157509157509158,0.0015597147950089127
CF,0.00202020202020202,0.0,0.0,0.0,0.0005885815185403178,0.0,0.0,0.0,0.0,0.0002228163992869875
CG,0.0,0.0,0.0,0.0,0.0,0.004700352526439483,0.004640371229698376,0.0012795905310300703,0.008241758241758242,0.004233511586452763
CH,0.0,0.0,0.0,0.0018796992481203006,0.0005885815185403178,0.0,0.0,0.0,0.0,0.0
CI,0.0,0.0,0.0007830853563038371,0.0,0.0011771630370806356,0.0,0.0,0.0006397952655150352,0.0,0.0
CK,0.0,0.0,0.0007830853563038371,0.0,0.0,0.0035252643948296123,0.0,0.003198976327575176,0.005189255189255189,0.0
CL,0.0,0.0,0.0007830853563038371,0.0,0.0,0.0,0.002320185614849188,0.0,0.0006105006105006105,0.0015597147950089127
CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002228163992869875
CN,0.0,0.0,0.0015661707126076742,0.0,0.0005885815185403178,0.0011750881316098707,0.002320185614849188,0.0006397952655150352,0.0006105006105006105,0.0
CP,0.0,0.0,0.0,0.0009398496240601503,0.0,0.005875440658049354,0.0069605568445475635,0.005118362124120281,0.005189255189255189,0.005570409982174688
CQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006105006105006105,0.0
CR,0.00202020202020202,0.0,0.0,0.0,0.0,0.0023501762632197414,0.004640371229698376,0.003198976327575176,0.0,0.0033422459893048127
CS,0.0,0.0,0.0007830853563038371,0.0,0.0011771630370806356,0.0023501762632197414,0.0,0.0019193857965451055,0.0,0.0006684491978609625
CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006397952655150352,0.00030525030525030525,0.0
