PC1,PC2,Observation,Group
-0.06302126163513112,0.019903699150157356,L2_IDR_Alveolata,L2
-0.09035127103712072,0.05835589012650023,L2_IDR_Fungi,L2
-0.07824053549546929,0.03493808640664182,L2_IDR_Metazoa,L2
-0.08805738589313586,0.04757407289890781,L2_IDR_Stramenopiles,L2
-0.08864431438091563,0.04957368265409351,L2_IDR_Streptophyta,L2
-0.03403323293591531,-0.030290489420719983,L2_structure_Alveolata,L2
-0.03211503579421516,-0.03231873242779285,L2_structure_Fungi,L2
-0.03265399636383576,-0.031236557201413634,L2_structure_Metazoa,L2
-0.03533283070122445,-0.02828616342651501,L2_structure_Stramenopiles,L2
-0.034941733820241,-0.028832608832531484,L2_structure_Streptophyta,L2
0.06180075515387647,-0.0045913990801306976,L3_IDR_Alveolata,L3
0.0986229783769457,0.04390297777822144,L3_IDR_Fungi,L3
0.1010038280590255,0.034910695090973914,L3_IDR_Metazoa,L3
0.11434888477114678,0.07463321501947312,L3_IDR_Rhizaria,L3
0.08825574647171171,0.02073944089080565,L3_IDR_Streptophyta,L3
0.020474043076448522,-0.04566161677183559,L3_structure_Alveolata,L3
0.021717380147358162,-0.04692668310092474,L3_structure_Fungi,L3
0.024256320702305306,-0.04392091872952559,L3_structure_Metazoa,L3
0.023378591203423133,-0.045468017933442316,L3_structure_Rhizaria,L3
0.02353307009496276,-0.04699857309094304,L3_structure_Streptophyta,L3
