Dipeptide,L3_IDR_Alveolata,L3_IDR_Fungi,L3_IDR_Metazoa,L3_IDR_Rhizaria,L3_IDR_Streptophyta,L3_structure_Alveolata,L3_structure_Fungi,L3_structure_Metazoa,L3_structure_Rhizaria,L3_structure_Streptophyta
AA,0.004788125448886761,0.0,0.0004892367906066536,0.020134228187919462,0.0044004400440044,0.003048006096012192,0.0017985611510791368,0.004475183075671277,0.002242152466367713,0.005531295487627365
AC,0.00047881254488867607,0.0,0.0,0.0,0.0,0.0,0.0013489208633093526,0.0,0.0,0.0002911208151382824
AD,0.0016758439071103662,0.004634994206257242,0.003913894324853229,0.006711409395973154,0.0022002200220022,0.006858013716027432,0.003147482014388489,0.004882017900732303,0.006726457399103139,0.001455604075691412
AE,0.004548719176442423,0.002317497103128621,0.0019569471624266144,0.0,0.005500550055005501,0.009144018288036576,0.00539568345323741,0.006916192026037429,0.008968609865470852,0.012809315866084425
AF,0.0007182188173330142,0.0,0.0,0.0,0.0,0.001524003048006096,0.0049460431654676255,0.0028478437754271765,0.011210762331838564,0.001455604075691412
AG,0.0038305003591094086,0.002317497103128621,0.0004892367906066536,0.0,0.0011001100110011,0.003302006604013208,0.0044964028776978415,0.003661513425549227,0.002242152466367713,0.0026200873362445414
AH,0.0019152501795547043,0.0,0.0,0.006711409395973154,0.0011001100110011,0.001778003556007112,0.0040467625899280575,0.0,0.0,0.0026200873362445414
AI,0.0014364376346660283,0.0,0.0004892367906066536,0.006711409395973154,0.0,0.000508001016002032,0.0022482014388489208,0.0,0.002242152466367713,0.0008733624454148472
AK,0.00861862580799617,0.0011587485515643105,0.003424657534246575,0.0,0.0088008800880088,0.007112014224028448,0.0035971223021582736,0.006509357200976403,0.002242152466367713,0.0008733624454148472
AL,0.005027531721331099,0.004634994206257242,0.0009784735812133072,0.006711409395973154,0.0,0.005842011684023368,0.002697841726618705,0.006916192026037429,0.004484304932735426,0.016593886462882096
AM,0.00047881254488867607,0.0,0.0004892367906066536,0.0,0.0,0.004064008128016256,0.002697841726618705,0.0016273393002441008,0.004484304932735426,0.0011644832605531296
AN,0.0014364376346660283,0.0011587485515643105,0.0014677103718199608,0.006711409395973154,0.0016501650165016502,0.002286004572009144,0.0017985611510791368,0.0012205044751830757,0.0,0.003784570596797671
