Dipeptide,L3_IDR_Alveolata,L3_IDR_Fungi,L3_IDR_Metazoa,L3_IDR_Rhizaria,L3_IDR_Streptophyta,L3_structure_Alveolata,L3_structure_Fungi,L3_structure_Metazoa,L3_structure_Rhizaria,L3_structure_Streptophyta
AP,0.0021546564519990424,0.002317497103128621,0.0009784735812133072,0.006711409395973154,0.0,0.000762001524003048,0.0013489208633093526,0.0024410089503661514,0.004484304932735426,0.001455604075691412
AQ,0.0026334689968877186,0.0011587485515643105,0.0004892367906066536,0.0,0.0011001100110011,0.001524003048006096,0.0017985611510791368,0.011391375101708706,0.0,0.012518195050946142
AR,0.005266937993775437,0.002317497103128621,0.002446183953033268,0.006711409395973154,0.01155115511551155,0.004826009652019304,0.0013489208633093526,0.004475183075671277,0.004484304932735426,0.005240174672489083
AS,0.005266937993775437,0.0,0.0009784735812133072,0.013422818791946308,0.00055005500550055,0.003302006604013208,0.0040467625899280575,0.0024410089503661514,0.002242152466367713,0.0005822416302765648
AT,0.0019152501795547043,0.0,0.0029354207436399216,0.0,0.00055005500550055,0.00381000762001524,0.0008992805755395684,0.0024410089503661514,0.0,0.0008733624454148472
AV,0.0023940627244433805,0.0,0.0014677103718199608,0.0,0.0,0.00254000508001016,0.0022482014388489208,0.0012205044751830757,0.004484304932735426,0.0017467248908296944
AW,0.0007182188173330142,0.0,0.0,0.0,0.0,0.001016002032004064,0.0,0.0004068348250610252,0.0,0.0
AY,0.0021546564519990424,0.0011587485515643105,0.0004892367906066536,0.0,0.0,0.000508001016002032,0.0013489208633093526,0.0,0.0,0.0011644832605531296
CA,0.0007182188173330142,0.0,0.0,0.0,0.0,0.00127000254000508,0.0,0.0004068348250610252,0.002242152466367713,0.0011644832605531296
CC,0.00047881254488867607,0.0,0.0,0.0,0.0,0.000254000508001016,0.0,0.0,0.0,0.0
CD,0.0011970313622216902,0.0,0.0,0.0,0.00055005500550055,0.002286004572009144,0.0040467625899280575,0.004475183075671277,0.002242152466367713,0.0005822416302765648
CE,0.0009576250897773521,0.0,0.0,0.0,0.0,0.00381000762001524,0.0017985611510791368,0.006509357200976403,0.004484304932735426,0.009315866084425037
CF,0.0007182188173330142,0.0,0.0,0.0,0.0,0.0,0.0,0.0008136696501220504,0.0,0.0002911208151382824
CG,0.0009576250897773521,0.0,0.0,0.0,0.0,0.0055880111760223524,0.0049460431654676255,0.006916192026037429,0.008968609865470852,0.006404657933042212
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CI,0.00047881254488867607,0.0,0.0004892367906066536,0.0,0.0,0.000254000508001016,0.0,0.0,0.0,0.0005822416302765648
CK,0.00023940627244433804,0.0,0.0,0.0,0.0,0.006096012192024384,0.0040467625899280575,0.0028478437754271765,0.006726457399103139,0.0
CL,0.0016758439071103662,0.0,0.0,0.0,0.0,0.000254000508001016,0.0,0.0,0.0,0.0002911208151382824
CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004068348250610252,0.0,0.0
CN,0.0,0.0,0.0,0.0,0.0,0.001524003048006096,0.0013489208633093526,0.0012205044751830757,0.0,0.0002911208151382824
CP,0.0,0.0,0.0004892367906066536,0.0,0.0,0.005842011684023368,0.0049460431654676255,0.0052888527257933275,0.004484304932735426,0.007860262008733625
CQ,0.0,0.0,0.0,0.0,0.0,0.00127000254000508,0.0004496402877697842,0.0016273393002441008,0.0,0.0
CR,0.0009576250897773521,0.0,0.0,0.0,0.0011001100110011,0.001524003048006096,0.0004496402877697842,0.0016273393002441008,0.0,0.0011644832605531296
CS,0.0009576250897773521,0.0,0.0014677103718199608,0.0,0.0,0.000508001016002032,0.0008992805755395684,0.0008136696501220504,0.0,0.0002911208151382824
CT,0.00023940627244433804,0.0,0.0,0.0,0.0,0.000254000508001016,0.0017985611510791368,0.0012205044751830757,0.002242152466367713,0.0002911208151382824
CV,0.00023940627244433804,0.0,0.0,0.0,0.0,0.000254000508001016,0.0,0.0004068348250610252,0.0,0.0
CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005822416302765648
DA,0.0038305003591094086,0.004634994206257242,0.0029354207436399216,0.006711409395973154,0.0011001100110011,0.005842011684023368,0.006294964028776978,0.006916192026037429,0.006726457399103139,0.009315866084425037
DC,0.00047881254488867607,0.0,0.0,0.0,0.00055005500550055,0.000762001524003048,0.0004496402877697842,0.0,0.0,0.0
DD,0.006463969355997127,0.015063731170336037,0.00684931506849315,0.0,0.0027502750275027505,0.004064008128016256,0.009442446043165468,0.006509357200976403,0.011210762331838564,0.004657933042212519
DE,0.005506344266219775,0.0011587485515643105,0.004403131115459882,0.0,0.0033003300330033004,0.005842011684023368,0.007194244604316547,0.011798209926769731,0.008968609865470852,0.008733624454148471
DF,0.0014364376346660283,0.002317497103128621,0.0004892367906066536,0.0,0.007700770077007701,0.005334010668021336,0.0044964028776978415,0.003661513425549227,0.004484304932735426,0.0002911208151382824
DG,0.0028728752693320567,0.008111239860950173,0.002446183953033268,0.0,0.0033003300330033004,0.001778003556007112,0.0008992805755395684,0.0020341741253051262,0.0,0.0002911208151382824
DH,0.0011970313622216902,0.009269988412514484,0.0029354207436399216,0.0,0.0022002200220022,0.001778003556007112,0.0013489208633093526,0.0040683482506102524,0.004484304932735426,0.0005822416302765648
DI,0.0014364376346660283,0.0,0.0019569471624266144,0.0,0.0011001100110011,0.00508001016002032,0.0022482014388489208,0.0020341741253051262,0.006726457399103139,0.0008733624454148472
DK,0.010055063442662198,0.0011587485515643105,0.011741682974559686,0.006711409395973154,0.006600660066006601,0.00508001016002032,0.011241007194244604,0.0028478437754271765,0.004484304932735426,0.004657933042212519
DL,0.0019152501795547043,0.0,0.003424657534246575,0.0,0.0022002200220022,0.009398018796037593,0.012589928057553957,0.007729861676159479,0.011210762331838564,0.01572052401746725
DM,0.00023940627244433804,0.0011587485515643105,0.0009784735812133072,0.0,0.0,0.001778003556007112,0.0008992805755395684,0.0008136696501220504,0.004484304932735426,0.0005822416302765648
DN,0.0023940627244433805,0.006952491309385863,0.0014677103718199608,0.0,0.0011001100110011,0.00254000508001016,0.003147482014388489,0.0004068348250610252,0.002242152466367713,0.0005822416302765648
DP,0.0014364376346660283,0.0011587485515643105,0.002446183953033268,0.0,0.0022002200220022,0.001778003556007112,0.0008992805755395684,0.0040683482506102524,0.004484304932735426,0.0034934497816593887
DQ,0.0016758439071103662,0.002317497103128621,0.0,0.0,0.0022002200220022,0.0027940055880111762,0.0013489208633093526,0.0040683482506102524,0.01569506726457399,0.0017467248908296944
DR,0.02801053387598755,0.06488991888760139,0.038649706457925634,0.020134228187919462,0.05665566556655666,0.00508001016002032,0.007194244604316547,0.007323026851098454,0.013452914798206279,0.007569141193595342
DS,0.004069906631553747,0.006952491309385863,0.006360078277886497,0.013422818791946308,0.005500550055005501,0.005334010668021336,0.0044964028776978415,0.0020341741253051262,0.0,0.0026200873362445414
DT,0.0007182188173330142,0.004634994206257242,0.004403131115459882,0.0,0.00055005500550055,0.002032004064008128,0.0040467625899280575,0.0024410089503661514,0.0,0.0005822416302765648
DV,0.0021546564519990424,0.0011587485515643105,0.002446183953033268,0.006711409395973154,0.0,0.003048006096012192,0.005845323741007194,0.004882017900732303,0.006726457399103139,0.003202328966521106
DW,0.0009576250897773521,0.0034762456546929316,0.0004892367906066536,0.0,0.0038503850385038503,0.00127000254000508,0.0,0.0,0.0,0.0
DY,0.0028728752693320567,0.01853997682502897,0.0014677103718199608,0.006711409395973154,0.0027502750275027505,0.002286004572009144,0.006294964028776978,0.0,0.0,0.0
EA,0.007421594445774479,0.004634994206257242,0.003913894324853229,0.0,0.005500550055005501,0.00762001524003048,0.009892086330935251,0.00935720097640358,0.008968609865470852,0.014847161572052401
EC,0.00047881254488867607,0.0,0.0004892367906066536,0.0,0.0,0.001016002032004064,0.0,0.0008136696501220504,0.002242152466367713,0.0005822416302765648
ED,0.0038305003591094086,0.0034762456546929316,0.008806262230919765,0.0,0.0016501650165016502,0.0055880111760223524,0.0022482014388489208,0.006102522375915379,0.004484304932735426,0.0017467248908296944
EE,0.013646157529327269,0.002317497103128621,0.02299412915851272,0.0,0.017051705170517052,0.012954025908051815,0.014838129496402877,0.016680227827502035,0.006726457399103139,0.011353711790393014
EF,0.00023940627244433804,0.0,0.0,0.0,0.0022002200220022,0.003048006096012192,0.0004496402877697842,0.0020341741253051262,0.002242152466367713,0.0002911208151382824
EG,0.004548719176442423,0.0,0.0053816046966731895,0.0,0.0022002200220022,0.00254000508001016,0.006294964028776978,0.003661513425549227,0.002242152466367713,0.0002911208151382824
EH,0.004069906631553747,0.002317497103128621,0.002446183953033268,0.0,0.0027502750275027505,0.002286004572009144,0.0017985611510791368,0.0008136696501220504,0.002242152466367713,0.0
EI,0.0023940627244433805,0.0,0.0029354207436399216,0.0,0.0011001100110011,0.006096012192024384,0.0017985611510791368,0.0008136696501220504,0.002242152466367713,0.004366812227074236
EK,0.025377064879099832,0.002317497103128621,0.018590998043052837,0.006711409395973154,0.024752475247524754,0.014986029972059944,0.01393884892086331,0.011798209926769731,0.008968609865470852,0.022416302765647742
EL,0.005506344266219775,0.0,0.003913894324853229,0.006711409395973154,0.00055005500550055,0.006858013716027432,0.009892086330935251,0.012611879576891782,0.004484304932735426,0.011644832605531296
EM,0.0016758439071103662,0.0034762456546929316,0.0009784735812133072,0.0,0.00055005500550055,0.004826009652019304,0.0022482014388489208,0.0016273393002441008,0.002242152466367713,0.0008733624454148472
EN,0.0033516878142207324,0.002317497103128621,0.0029354207436399216,0.0,0.0033003300330033004,0.007112014224028448,0.0013489208633093526,0.0028478437754271765,0.0,0.0011644832605531296
EP,0.0016758439071103662,0.0034762456546929316,0.0019569471624266144,0.006711409395973154,0.00055005500550055,0.00127000254000508,0.0017985611510791368,0.0004068348250610252,0.002242152466367713,0.0011644832605531296
EQ,0.0026334689968877186,0.002317497103128621,0.0019569471624266144,0.0,0.0033003300330033004,0.004826009652019304,0.002697841726618705,0.008950366151342554,0.0,0.00727802037845706
ER,0.027292315058654537,0.01738122827346466,0.04403131115459882,0.0,0.0374037403740374,0.005842011684023368,0.009442446043165468,0.01017087062652563,0.004484304932735426,0.01106259097525473
ES,0.0023940627244433805,0.004634994206257242,0.004892367906066536,0.013422818791946308,0.0044004400440044,0.006858013716027432,0.003147482014388489,0.004882017900732303,0.01569506726457399,0.006695778748180495
ET,0.004069906631553747,0.002317497103128621,0.0029354207436399216,0.0,0.0016501650165016502,0.005334010668021336,0.0013489208633093526,0.0016273393002441008,0.002242152466367713,0.0040756914119359534
EV,0.0011970313622216902,0.0,0.002446183953033268,0.006711409395973154,0.0027502750275027505,0.006604013208026416,0.008992805755395683,0.00935720097640358,0.004484304932735426,0.008733624454148471
EW,0.0011970313622216902,0.004634994206257242,0.0,0.0,0.0027502750275027505,0.000508001016002032,0.0,0.0,0.0,0.0
EY,0.0031122815417763947,0.0034762456546929316,0.0004892367906066536,0.0,0.006600660066006601,0.002286004572009144,0.0013489208633093526,0.0008136696501220504,0.0,0.0002911208151382824
FA,0.0009576250897773521,0.0011587485515643105,0.0,0.0,0.00055005500550055,0.002286004572009144,0.0004496402877697842,0.0012205044751830757,0.006726457399103139,0.0
FC,0.00023940627244433804,0.0,0.0,0.0,0.0,0.004318008636017272,0.0040467625899280575,0.0052888527257933275,0.004484304932735426,0.007569141193595342
FD,0.0014364376346660283,0.0,0.0,0.0,0.00055005500550055,0.001778003556007112,0.0013489208633093526,0.0016273393002441008,0.002242152466367713,0.0002911208151382824
FE,0.0014364376346660283,0.0,0.0,0.0,0.0011001100110011,0.0063500127000254,0.0013489208633093526,0.0024410089503661514,0.008968609865470852,0.008733624454148471
FF,0.00023940627244433804,0.0,0.0,0.0,0.00055005500550055,0.000762001524003048,0.0,0.0,0.0,0.0005822416302765648
FG,0.00023940627244433804,0.0011587485515643105,0.0004892367906066536,0.0,0.0,0.0,0.0,0.0,0.0,0.0008733624454148472
FH,0.00047881254488867607,0.0011587485515643105,0.0,0.0,0.0,0.000762001524003048,0.0004496402877697842,0.0,0.0,0.0002911208151382824
FI,0.0007182188173330142,0.0011587485515643105,0.0,0.0,0.0022002200220022,0.000762001524003048,0.0008992805755395684,0.0012205044751830757,0.006726457399103139,0.0011644832605531296
FK,0.00047881254488867607,0.0,0.0009784735812133072,0.0,0.0016501650165016502,0.003048006096012192,0.0017985611510791368,0.0,0.0,0.0008733624454148472
FL,0.0021546564519990424,0.0,0.0,0.0,0.0049504950495049506,0.004572009144018288,0.005845323741007194,0.008136696501220505,0.008968609865470852,0.005531295487627365
FM,0.0,0.0,0.0,0.0,0.0,0.001778003556007112,0.0,0.0012205044751830757,0.0,0.001455604075691412
FN,0.00023940627244433804,0.0011587485515643105,0.0,0.0,0.0,0.00127000254000508,0.0,0.0,0.0,0.0002911208151382824
FP,0.0007182188173330142,0.0,0.0,0.0,0.0,0.0027940055880111762,0.0004496402877697842,0.0,0.0,0.0002911208151382824
FQ,0.0007182188173330142,0.0,0.0004892367906066536,0.0,0.0,0.0,0.0008992805755395684,0.0016273393002441008,0.0,0.0002911208151382824
FR,0.0009576250897773521,0.0,0.0009784735812133072,0.0,0.00055005500550055,0.000762001524003048,0.0004496402877697842,0.0,0.002242152466367713,0.0002911208151382824
FS,0.0019152501795547043,0.0,0.0004892367906066536,0.0,0.0016501650165016502,0.000508001016002032,0.0008992805755395684,0.0008136696501220504,0.0,0.0008733624454148472
FT,0.00047881254488867607,0.0,0.0004892367906066536,0.0,0.0,0.00127000254000508,0.0040467625899280575,0.0020341741253051262,0.002242152466367713,0.0
FV,0.0007182188173330142,0.0,0.0,0.0,0.0,0.00127000254000508,0.0013489208633093526,0.0016273393002441008,0.0,0.004366812227074236
FW,0.00023940627244433804,0.0,0.0,0.0,0.0,0.0,0.002697841726618705,0.0,0.0,0.0
FY,0.00047881254488867607,0.0,0.0,0.0,0.0,0.000508001016002032,0.003147482014388489,0.0004068348250610252,0.004484304932735426,0.0017467248908296944
GA,0.0023940627244433805,0.0,0.0004892367906066536,0.0,0.0016501650165016502,0.004318008636017272,0.005845323741007194,0.004475183075671277,0.004484304932735426,0.0026200873362445414
GC,0.00047881254488867607,0.0,0.0,0.0,0.00055005500550055,0.000508001016002032,0.0,0.0024410089503661514,0.0,0.0002911208151382824
GD,0.007661000718218817,0.005793742757821553,0.003424657534246575,0.0,0.007700770077007701,0.004318008636017272,0.0008992805755395684,0.004475183075671277,0.002242152466367713,0.0005822416302765648
GE,0.005266937993775437,0.0034762456546929316,0.002446183953033268,0.0,0.0027502750275027505,0.004318008636017272,0.0049460431654676255,0.0032546786004882017,0.002242152466367713,0.0040756914119359534
GF,0.00047881254488867607,0.0,0.0,0.0,0.00055005500550055,0.003556007112014224,0.0017985611510791368,0.0032546786004882017,0.008968609865470852,0.0017467248908296944
GG,0.008858032080440507,0.013904982618771726,0.0019569471624266144,0.040268456375838924,0.013201320132013201,0.002032004064008128,0.0,0.0028478437754271765,0.002242152466367713,0.0002911208151382824
GH,0.0007182188173330142,0.0,0.0009784735812133072,0.0,0.0027502750275027505,0.0,0.0008992805755395684,0.0024410089503661514,0.0,0.0008733624454148472
GI,0.0014364376346660283,0.0,0.0014677103718199608,0.0,0.00055005500550055,0.000508001016002032,0.0004496402877697842,0.0016273393002441008,0.0,0.0
GK,0.007421594445774479,0.0,0.0019569471624266144,0.0,0.0027502750275027505,0.008382016764033528,0.005845323741007194,0.009764035801464606,0.011210762331838564,0.008151382823871907
GL,0.0021546564519990424,0.0011587485515643105,0.0004892367906066536,0.0,0.00055005500550055,0.000762001524003048,0.0004496402877697842,0.0028478437754271765,0.0,0.0017467248908296944
GM,0.00047881254488867607,0.0,0.0,0.0,0.0,0.000508001016002032,0.0004496402877697842,0.0004068348250610252,0.0,0.003202328966521106
GN,0.00047881254488867607,0.002317497103128621,0.0,0.0,0.0038503850385038503,0.000762001524003048,0.0017985611510791368,0.0012205044751830757,0.0,0.0002911208151382824
GP,0.0019152501795547043,0.0011587485515643105,0.0,0.0,0.00055005500550055,0.003048006096012192,0.0017985611510791368,0.0040683482506102524,0.004484304932735426,0.003784570596797671
GQ,0.0014364376346660283,0.0,0.0004892367906066536,0.0,0.00055005500550055,0.000762001524003048,0.0013489208633093526,0.0024410089503661514,0.002242152466367713,0.001455604075691412
GR,0.007661000718218817,0.01738122827346466,0.003424657534246575,0.006711409395973154,0.0231023102310231,0.005334010668021336,0.007194244604316547,0.004475183075671277,0.0,0.003784570596797671
GS,0.0031122815417763947,0.011587485515643106,0.00684931506849315,0.020134228187919462,0.00825082508250825,0.001016002032004064,0.0004496402877697842,0.0016273393002441008,0.002242152466367713,0.005822416302765648
GT,0.00047881254488867607,0.0011587485515643105,0.0019569471624266144,0.006711409395973154,0.0011001100110011,0.000508001016002032,0.0004496402877697842,0.0016273393002441008,0.004484304932735426,0.001455604075691412
GV,0.0026334689968877186,0.0,0.0014677103718199608,0.0,0.0,0.0027940055880111762,0.0004496402877697842,0.0020341741253051262,0.004484304932735426,0.0005822416302765648
GW,0.0009576250897773521,0.0,0.0,0.0,0.0,0.00127000254000508,0.0,0.0004068348250610252,0.0,0.0
GY,0.0026334689968877186,0.006952491309385863,0.0,0.0,0.0038503850385038503,0.00127000254000508,0.006744604316546762,0.005695687550854353,0.002242152466367713,0.00611353711790393
HA,0.0014364376346660283,0.0,0.0009784735812133072,0.0,0.00055005500550055,0.00254000508001016,0.0004496402877697842,0.0012205044751830757,0.0,0.0002911208151382824
HC,0.00047881254488867607,0.0,0.0,0.0,0.0,0.000508001016002032,0.0,0.0,0.0,0.0002911208151382824
HD,0.0016758439071103662,0.0034762456546929316,0.0019569471624266144,0.0,0.0027502750275027505,0.004572009144018288,0.003147482014388489,0.0052888527257933275,0.011210762331838564,0.011644832605531296
HE,0.0026334689968877186,0.004634994206257242,0.0019569471624266144,0.006711409395973154,0.0016501650165016502,0.0027940055880111762,0.0022482014388489208,0.0040683482506102524,0.004484304932735426,0.0008733624454148472
HF,0.0,0.002317497103128621,0.0,0.0,0.0,0.000254000508001016,0.002697841726618705,0.0016273393002441008,0.0,0.0011644832605531296
HG,0.0019152501795547043,0.002317497103128621,0.0004892367906066536,0.013422818791946308,0.0049504950495049506,0.000508001016002032,0.0008992805755395684,0.0004068348250610252,0.0,0.0
HH,0.0031122815417763947,0.009269988412514484,0.007338551859099804,0.006711409395973154,0.0011001100110011,0.000254000508001016,0.0004496402877697842,0.0,0.0,0.0
HI,0.0007182188173330142,0.0,0.0004892367906066536,0.0,0.0,0.0027940055880111762,0.0022482014388489208,0.0008136696501220504,0.0,0.003202328966521106
HK,0.0019152501795547043,0.0011587485515643105,0.0053816046966731895,0.0,0.0011001100110011,0.001016002032004064,0.0008992805755395684,0.0004068348250610252,0.0,0.0011644832605531296
HL,0.0014364376346660283,0.0,0.0009784735812133072,0.0,0.00055005500550055,0.002286004572009144,0.0035971223021582736,0.0040683482506102524,0.006726457399103139,0.0002911208151382824
HM,0.0011970313622216902,0.0,0.0,0.0,0.0,0.001778003556007112,0.0008992805755395684,0.0016273393002441008,0.0,0.0008733624454148472
HN,0.0014364376346660283,0.0,0.0014677103718199608,0.0,0.0022002200220022,0.000508001016002032,0.002697841726618705,0.0,0.0,0.0
HP,0.0007182188173330142,0.0,0.0009784735812133072,0.0,0.00055005500550055,0.001524003048006096,0.0004496402877697842,0.0008136696501220504,0.0,0.0
HQ,0.0007182188173330142,0.0011587485515643105,0.0014677103718199608,0.0,0.0016501650165016502,0.001524003048006096,0.002697841726618705,0.0008136696501220504,0.0,0.0005822416302765648
HR,0.007182188173330141,0.019698725376593278,0.009784735812133072,0.026845637583892617,0.01155115511551155,0.001016002032004064,0.0008992805755395684,0.0016273393002441008,0.0,0.0011644832605531296
HS,0.004788125448886761,0.002317497103128621,0.006360078277886497,0.006711409395973154,0.0038503850385038503,0.003556007112014224,0.0004496402877697842,0.0008136696501220504,0.0,0.0005822416302765648
HT,0.00047881254488867607,0.0011587485515643105,0.0014677103718199608,0.0,0.00055005500550055,0.000762001524003048,0.0022482014388489208,0.0004068348250610252,0.0,0.0
HV,0.00047881254488867607,0.0,0.0,0.0,0.0011001100110011,0.001778003556007112,0.0,0.0020341741253051262,0.004484304932735426,0.005531295487627365
HW,0.00023940627244433804,0.0,0.0,0.0,0.0,0.0,0.0004496402877697842,0.0016273393002441008,0.004484304932735426,0.0
HY,0.00047881254488867607,0.0011587485515643105,0.0004892367906066536,0.0,0.0016501650165016502,0.0,0.0013489208633093526,0.0008136696501220504,0.0,0.0002911208151382824
IA,0.0007182188173330142,0.0,0.0,0.0,0.0016501650165016502,0.001778003556007112,0.0008992805755395684,0.0016273393002441008,0.0,0.001455604075691412
IC,0.0009576250897773521,0.0,0.0,0.0,0.0,0.003302006604013208,0.0013489208633093526,0.0012205044751830757,0.011210762331838564,0.0020378457059679767
ID,0.0021546564519990424,0.0011587485515643105,0.0009784735812133072,0.0,0.0,0.004572009144018288,0.0017985611510791368,0.0032546786004882017,0.011210762331838564,0.0008733624454148472
IE,0.0033516878142207324,0.0011587485515643105,0.003424657534246575,0.006711409395973154,0.0016501650165016502,0.005842011684023368,0.006744604316546762,0.003661513425549227,0.006726457399103139,0.003784570596797671
IF,0.0,0.0,0.0,0.0,0.0,0.0,0.0004496402877697842,0.0,0.0,0.0002911208151382824
IG,0.0009576250897773521,0.0011587485515643105,0.0,0.0,0.0011001100110011,0.003048006096012192,0.0008992805755395684,0.0008136696501220504,0.0,0.0026200873362445414
IH,0.0007182188173330142,0.0,0.0,0.0,0.0,0.003302006604013208,0.0022482014388489208,0.0020341741253051262,0.002242152466367713,0.0034934497816593887
II,0.0023940627244433805,0.0,0.0004892367906066536,0.006711409395973154,0.0,0.00127000254000508,0.0022482014388489208,0.0008136696501220504,0.0,0.0005822416302765648
IK,0.0026334689968877186,0.0011587485515643105,0.0029354207436399216,0.0,0.0,0.005842011684023368,0.00539568345323741,0.0040683482506102524,0.002242152466367713,0.004949053857350801
IL,0.0011970313622216902,0.0011587485515643105,0.0014677103718199608,0.006711409395973154,0.00055005500550055,0.000762001524003048,0.0022482014388489208,0.0008136696501220504,0.0,0.0017467248908296944
IM,0.0,0.0,0.0,0.0,0.0,0.000254000508001016,0.0004496402877697842,0.0004068348250610252,0.0,0.0002911208151382824
IN,0.0011970313622216902,0.0,0.0,0.0,0.0,0.003556007112014224,0.0017985611510791368,0.0052888527257933275,0.0,0.001455604075691412
IP,0.00047881254488867607,0.0,0.0014677103718199608,0.0,0.00055005500550055,0.001016002032004064,0.0008992805755395684,0.0,0.0,0.0011644832605531296
IQ,0.00047881254488867607,0.0,0.0,0.0,0.0,0.000762001524003048,0.0022482014388489208,0.0012205044751830757,0.002242152466367713,0.0008733624454148472
IR,0.0019152501795547043,0.0,0.0014677103718199608,0.0,0.00055005500550055,0.0063500127000254,0.0085431654676259,0.007323026851098454,0.008968609865470852,0.0020378457059679767
IS,0.0014364376346660283,0.0,0.0009784735812133072,0.0,0.00055005500550055,0.002032004064008128,0.0008992805755395684,0.0008136696501220504,0.0,0.001455604075691412
IT,0.0,0.0,0.0004892367906066536,0.0,0.0,0.001016002032004064,0.0017985611510791368,0.0,0.004484304932735426,0.0020378457059679767
IV,0.0009576250897773521,0.0,0.0004892367906066536,0.006711409395973154,0.00055005500550055,0.002032004064008128,0.0008992805755395684,0.003661513425549227,0.002242152466367713,0.0002911208151382824
IW,0.00023940627244433804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IY,0.0011970313622216902,0.0011587485515643105,0.0,0.0,0.0,0.000254000508001016,0.0,0.0,0.0,0.0
KA,0.009097438352884846,0.0011587485515643105,0.003424657534246575,0.013422818791946308,0.009900990099009901,0.005842011684023368,0.006744604316546762,0.004882017900732303,0.006726457399103139,0.002911208151382824
KC,0.00047881254488867607,0.0,0.0,0.0,0.0,0.001016002032004064,0.0008992805755395684,0.0008136696501220504,0.0,0.0
KD,0.014364376346660282,0.002317497103128621,0.0136986301369863,0.0,0.0044004400440044,0.007112014224028448,0.006744604316546762,0.0024410089503661514,0.006726457399103139,0.0008733624454148472
KE,0.023940627244433806,0.002317497103128621,0.023483365949119372,0.0,0.022552255225522552,0.010922021844043688,0.011241007194244604,0.004475183075671277,0.0,0.009024745269286753
KF,0.0016758439071103662,0.0,0.0004892367906066536,0.0,0.0,0.003556007112014224,0.0013489208633093526,0.0012205044751830757,0.002242152466367713,0.0034934497816593887
KG,0.005506344266219775,0.0011587485515643105,0.0009784735812133072,0.0,0.0044004400440044,0.004572009144018288,0.0013489208633093526,0.0024410089503661514,0.0,0.0026200873362445414
KH,0.0038305003591094086,0.0011587485515643105,0.007827788649706457,0.0,0.0027502750275027505,0.001524003048006096,0.002697841726618705,0.0016273393002441008,0.0,0.0
KI,0.0026334689968877186,0.0,0.0004892367906066536,0.013422818791946308,0.0,0.010414020828041656,0.01393884892086331,0.008950366151342554,0.004484304932735426,0.007860262008733625
KK,0.010533875987550874,0.002317497103128621,0.009295499021526418,0.0,0.0033003300330033004,0.008382016764033528,0.0049460431654676255,0.0028478437754271765,0.006726457399103139,0.009024745269286753
KL,0.0031122815417763947,0.0,0.002446183953033268,0.0,0.0027502750275027505,0.004572009144018288,0.007194244604316547,0.008950366151342554,0.0,0.010480349344978166
